cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total
54660,Salazar,76.14,49.48,6.91,58.02,60.1,9.2,23.07,13.24,48.8,12031.0
54670,San Calixto,45.32,22.74,6.91,67.23,79.33,16.12,42.51,17.8,73.5,14617.0
54673,San Cayetano,84.7,73.29,6.91,74.04,71.21,12.6,25.42,16.01,37.6,10025.0
54680,Santiago,68.81,57.28,6.91,63.46,46.26,0.0,26.17,14.22,48.1,5300.0
54720,Sardinata,58.79,55.36,6.91,70.66,59.85,32.95,52.99,15.9,53.8,31006.0
54743,Silos,47.72,42.87,6.91,66.26,83.59,30.55,16.31,5.83,46.6,8186.0
54800,Teorama,40.98,35.63,6.91,68.92,82.01,61.08,42.3,19.84,67.1,19668.0
54810,Tibú,51.38,45.97,6.91,75.87,61.93,71.85,56.85,27.36,57.6,85958.0
54820,Toledo,55.66,42.24,6.91,79.42,63.57,36.07,44.06,10.24,50.1,19087.0
54871,Villa Caro,54.82,46.57,6.91,61.83,53.6,0.0,37.48,22.58,64.8,5069.0
54874,Villa del Rosario,84.88,93.43,6.91,74.88,3.41,32.63,14.93,13.98,24.6,151949.0
63000,Quindío,97.16,91.05,6.36,71.33,12.08,33.98,9.98,6.29,18.2,485150.0
63001,Armenia,98.88,96.17,5.46,75.17,2.69,25.6,5.27,5.36,14.4,297298.0
63111,Buenavista,80.46,72.08,6.91,62.64,62.07,62.34,15.45,6.79,29.0,2642.0
63130,Calarcá,96.3,91.07,6.91,73.43,23.16,29.95,11.18,6.05,19.9,67645.0
63190,Circasia,98.48,78.91,6.91,74.37,25.77,33.55,7.11,6.26,17.3,26329.0
63212,Córdoba,89.13,61.23,6.91,65.84,41.18,0.0,13.86,7.29,30.7,5292.0
63272,Filandia,96.43,62.01,6.91,69.84,44.98,8.16,7.55,5.12,18.1,10888.0
63302,Génova,66.16,63.17,6.91,67.29,43.99,39.29,15.87,8.1,33.1,6801.0
63401,La Tebaida,97.07,92.54,6.91,74.06,9.58,33.62,11.67,9.98,27.4,30372.0
